"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050853","BP","GO:0050853","B cell receptor signaling pathway","19/449","78/18888",0.243589743589744,10.2470447147507,12.7700277134649,1.76829325134501e-14,7.18811206671746e-11,6.09781967516447e-11,"5788/26228/973/55024/89857/933/974/640/930/29760/3507/931/3495/3493/3494/3500/3502/64332/27086",19
"GO:0002757","BP","GO:0002757","immune response-activating signaling pathway","40/449","500/18888",0.08,3.36534521158129,8.36465948709955,2.10239728445354e-11,3.79113896654697e-08,3.21609924371279e-08,"5788/114609/26228/64581/973/55024/89857/1654/1845/4057/3304/3303/5074/933/974/1380/1399/640/930/917/29760/3507/931/5591/2358/65125/3495/91543/3493/3494/3500/3502/64332/27086/2355/2359/57724/83737/5094/4671",40
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway","25/449","208/18888",0.120192307692308,5.05610758951516,9.17885853012368,3.03598532498541e-11,3.79113896654697e-08,3.21609924371279e-08,"5788/26228/973/55024/89857/1845/5074/933/974/1399/640/930/917/29760/3507/931/65125/3495/3493/3494/3500/3502/64332/27086/2355",25
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","33/449","360/18888",0.0916666666666667,3.85612472160356,8.53788156700035,3.7305180482627e-11,3.79113896654697e-08,3.21609924371279e-08,"5788/114609/26228/64581/973/55024/89857/1845/4057/5074/933/974/1380/1399/640/930/2208/917/29760/100133941/3507/931/2358/65125/3495/3493/3494/3500/3502/64332/27086/2355/2359",33
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","31/449","332/18888",0.0933734939759036,3.92792551050527,8.39890873376733,9.36547248132714e-11,7.61412912731896e-08,6.45921849449005e-08,"5788/114609/26228/64581/973/55024/89857/1845/4057/5074/933/974/1380/1399/640/930/917/29760/3507/931/2358/65125/3495/3493/3494/3500/3502/64332/27086/2355/2359",31
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","32/449","385/18888",0.0831168831168831,3.49646255748706,7.7227206504421,8.98207778160249e-10,6.08535769703569e-07,5.16233101974207e-07,"5788/5551/118460/64581/89857/710/3383/3566/1380/6868/1178/930/2208/3507/5321/23075/6095/3495/91543/3493/3494/3500/3502/28396/28442/913/51571/64332/567/301/55183/3716",32
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis","21/449","177/18888",0.11864406779661,4.9909780680231,8.32440983155393,1.49750903905294e-09,8.69624891964316e-07,7.37720242396608e-07,"3304/3303/2039/6521/6868/2624/5591/2038/212/677/23376/25893/51327/51621/29766/80739/83700/94081/567/6670/301",21
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity","35/449","469/18888",0.0746268656716418,3.13931456304225,7.32089239489711,2.51972877565312e-09,1.28033718412874e-06,1.08613571961048e-06,"5788/5551/118460/26228/64581/710/3916/3383/3566/1380/6868/1178/930/2208/306/3507/2624/5272/23075/1130/5730/3495/91543/3493/3494/3500/3502/28396/28442/913/51571/64332/867/567/55183",35
"GO:0042113","BP","GO:0042113","B cell activation","26/449","278/18888",0.0935251798561151,3.9343064523882,7.69113896802607,3.0612868332003e-09,1.38268121966214e-06,1.17295621819464e-06,"5788/118460/114609/973/55024/64092/5074/933/974/1380/6868/930/3574/29760/931/23075/5591/7157/677/5079/64332/2355/6670/115350/55183/115650",26
"GO:0030218","BP","GO:0030218","erythrocyte differentiation","18/449","135/18888",0.133333333333333,5.60890868596882,8.38620722452605,3.44259447918493e-09,1.39941465578867e-06,1.18715152776946e-06,"3304/3303/2039/6521/2624/5591/2038/212/677/23376/25893/51327/51621/29766/80739/94081/567/6670",18
