"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1552312_a_at",46.4243400624667,1.19510149728114,0.172477142726922,6.92904276118087,4.23697730913395e-12,2.66235149016222e-10
"1552480_s_at",44.2720907426107,-1.26696730154886,0.257850915563283,-4.91356526224128,8.94349435161176e-07,1.24605757077756e-05
"1552660_a_at",78.5729059116761,1.054379943027,0.154012735096253,6.84605686905075,7.59133112665776e-12,4.45279542404888e-10
"1552867_at",47.5744188621848,1.207734243905,0.187403003496852,6.44458317833357,1.15918547842227e-10,4.95397296384211e-09
"1553101_a_at",135.587801264536,1.17633389527182,0.188245380931019,6.2489389617633,4.13250362996592e-10,1.53541082903256e-08
"1553185_at",402.446283511296,-1.58807263745792,0.259108615108349,-6.12898431336931,8.84418446543882e-10,2.93188039910675e-08
"1553186_x_at",292.549527492493,-1.55236297126247,0.259986246460974,-5.97094266482858,2.35886636920653e-09,7.00696897266328e-08
"1553681_a_at",1530.28733396893,1.38246938154077,0.307409846987404,4.49715386507255,6.88691503069033e-06,7.05875436737242e-05
"1553861_at",20.0499787490199,-1.2553038115604,0.243331190914735,-5.15882820793107,2.48500188241988e-07,4.06796038351086e-06
"1553947_at",41.3802799679031,1.2752973212678,0.171100872097884,7.45348229749654,9.0908201246411e-14,9.32126184407968e-12
"1553962_s_at",60.2474441606361,1.03360303351292,0.228756462522104,4.51835555646016,6.23217666137706e-06,6.45520757243809e-05
"1554091_a_at",36.0534411564477,1.106589910332,0.168255332845101,6.57684895700003,4.80522454438526e-11,2.29648964371735e-09
"1554178_a_at",266.618154233078,-1.3296523630231,0.155293587797758,-8.56218458134107,1.1074870396093e-17,3.21950133470599e-15
"1554343_a_at",97.2631301134134,-1.26490953053933,0.23436518094626,-5.39717344288175,6.76989375476592e-08,1.28288516753995e-06
"1554406_a_at",673.934365004872,1.1248886433113,0.154983598639699,7.25811410487638,3.92524377085945e-13,3.38235826430996e-11
"1554413_s_at",26.6213113523882,-1.10472369784031,0.242845092738127,-4.5490880024971,5.38789093463186e-06,5.72644703835883e-05
"1554417_s_at",83.669314623266,1.06831052076818,0.16570771889754,6.44695689419715,1.14118226943946e-10,4.90875378142298e-09
"1554451_s_at",59.1173823620243,1.31869284709541,0.155473199990926,8.48180166853438,2.21733301327251e-17,5.80765619139713e-15
"1554464_a_at",548.892022188803,1.12275667519879,0.174446813715803,6.43609734843258,1.22584429845152e-10,5.22197827234083e-09
"1554569_a_at",178.125235838809,1.10258424130171,0.21395594383815,5.15332372413909,2.55909627900618e-07,4.16861656187374e-06
"1554676_at",985.624532115205,-1.48407375110977,0.319290472791777,-4.64803643570535,3.35109730235003e-06,3.86187735464822e-05
"1554892_a_at",57.6325928993279,-1.90011966773161,0.231605309322034,-8.20412827881077,2.32269998632871e-16,4.65490192714694e-14
"1554948_at",82.338093084082,1.03166959868087,0.171229613391959,6.0250652807309,1.69041380696744e-09,5.29836574046407e-08
"1555058_a_at",69.6740285104973,-1.27383792412986,0.272932848536311,-4.66722100678325,3.05300885829216e-06,3.57997767452397e-05
"1555154_a_at",142.290733432358,1.01178685654699,0.149860482740658,6.75152540578656,1.46298761469678e-11,7.96334863357788e-10
"1555214_a_at",209.067317966915,1.61412143338258,0.182434962324532,8.84765405060478,8.93782115209109e-19,3.28390445496413e-16
